inventory_id,part_num,color_id,quantity,is_spare
1,3001,4,8,false
1,3002,1,6,false
1,3003,15,12,false
1,3020,71,10,false
2,3001,4,4,false
2,3002,15,8,false
2,4070,71,2,false
2,3003,4,1,true
3,3001,1,12,false
3,3002,4,10,false
3,3003,71,14,false
3,3020,72,20,false
3,4070,15,4,false
4,3001,4,16,false
4,3003,1,20,false
4,3020,71,8,false
5,3001,72,6,false
5,3002,71,12,false
5,3020,15,18,false
5,4070a,71,3,false
6,973c01,4,1,false
6,3626c,1,1,false
6,970c00,15,1,false
7,973c01,15,1,false
7,3626c,4,1,false
